Cruise No	EXPOCODE	Name	ICEScode	CallSign_WMO	PlatformType	IMO_OS	Institution	EDMO	PI_Institution	PI_EDMO	PI	DOI_link
1	06AQ19840719	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Gotthilf Hempel	https://doi.org/10.3334/cdiac/otg.carina_06aq19840719
2	06AQ19860627	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of Gothenburg	3984	E.Augstein	https://doi.org/10.3334/cdiac/otg.ant_v2_1986
3	06AQ19870704	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of Gothenburg	3984	J. Thiede	https://doi.org/10.3334/cdiac/otg.06aq19870704_ark_iv_3
4	06AQ19890906	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Eberhard Fahrbach	https://doi.org/10.3334/cdiac/otg.antviii_2
5	06AQ19901117	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	E. Fahrbach	https://doi.org/10.3334/cdiac/otg.sr04_antix_2
6	06AQ19920521	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Peter Lemke	https://doi.org/10.3334/cdiac/otg.woce_a12_antx_4
7	06AQ19920929	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	V. Smetacek	https://doi.org/10.3334/cdiac/otg.carina_06aq19920929
8	06AQ19921203	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	E. Fahrbach	https://doi.org/10.3334/cdiac/otg.sr04_antx_7
9	06AQ19930806	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	D.K. Fütterer	https://doi.org/10.3334/cdiac/otg.carina_06aq19930806
10	06AQ19950707	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of Gothenburg	3984	Eike Rachor; J.Meincke	https://doi.org/10.25921/rzak-fe29
