EXPOCODE	Name	ICEScode	CallSign_WMO	PlatformType	IMO_OS	Institution	EDMO	PI_Institution	PI_EDMO	PI	DOI_link
069920180814	Malizia		DGCG	32		Max Planck Institute for Meteorology (MPI-M)	2402	Max Planck Institute for Meteorology (MPI-M)	2402	Landschützer, P.	
069920180921	Malizia		DGCG	32		Max Planck Institute for Meteorology (MPI-M)	2402	Max Planck Institute for Meteorology (MPI-M)	2402	Landschützer, P.	
069920181126	Malizia		DGCG	32		Max Planck Institute for Meteorology (MPI-M)	2402	Max Planck Institute for Meteorology (MPI-M)	2402	Landschützer, P.	
069920190503	Malizia		DGCG	32		Max Planck Institute for Meteorology (MPI-M)	2402	Max Planck Institute for Meteorology (MPI-M)	2402	Landschützer, P.	
069920190509	Malizia		DGCG	32		Max Planck Institute for Meteorology (MPI-M)	2402	Max Planck Institute for Meteorology (MPI-M)	2402	Landschützer, P.	
069920190602	Malizia		DGCG	32		Max Planck Institute for Meteorology (MPI-M)	2402	Max Planck Institute for Meteorology (MPI-M)	2402	Landschützer, P.	
069920190803	Malizia		DGCG	32		Max Planck Institute for Meteorology (MPI-M)	2402	Max Planck Institute for Meteorology (MPI-M)	2402	Landschützer, P.	
069920200703	Sea Explorer		DGCG	32		Max Planck Institute for Meteorology (MPI-M)	2402	Max Planck Institute for Meteorology (MPI-M)	2402	Landschützer, P.	
069920201009	Sea Explorer		DGCG	32		Max Planck Institute for Meteorology (MPI-M)	2402	Max Planck Institute for Meteorology (MPI-M)	2402	Landschützer, P.	
069920201108	Sea Explorer		DGCG	32		Max Planck Institute for Meteorology (MPI-M)	2402	Max Planck Institute for Meteorology (MPI-M)	2402	Landschützer, P.	
069920201125	Sea Explorer		DGCG	32		Max Planck Institute for Meteorology (MPI-M)	2402	Max Planck Institute for Meteorology (MPI-M)	2402	Landschützer, P.	
069920201211	Sea Explorer		DGCG	32		Max Planck Institute for Meteorology (MPI-M)	2402	Max Planck Institute for Meteorology (MPI-M)	2402	Landschützer, P.	
069920201226	Sea Explorer		DGCG	32		Max Planck Institute for Meteorology (MPI-M)	2402	Max Planck Institute for Meteorology (MPI-M)	2402	Landschützer, P.	
069920210106	Sea Explorer		DGCG	32		Max Planck Institute for Meteorology (MPI-M)	2402	Max Planck Institute for Meteorology (MPI-M)	2402	Landschützer, P.	https://doi.org/10.3334/CDIAC/OTG.ANT_V2_1986
06AQ19860627	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Scripps Institution of Oceanography	1390	Weiss, R.	https://doi.org/10.3334/CDIAC/otg.ndp044
06AQ19860928	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Scripps Institution of Oceanography	1390	Weiss, R.	
06AQ19911114	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Leibniz Institute for Baltic Sea Research Warnemünde	100	Schneider, B.	https://doi.org/10.3334/CDIAC/otg.ANT_bakker_1991-1999
06AQ19911210	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Leibniz Institute for Baltic Sea Research Warnemünde	100	Schneider, B.	https://doi.org/10.3334/CDIAC/otg.ANT_bakker_1991-1999
06AQ19921005	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of East Anglia, School of Environmental Sciences	6	Bakker, D.	https://doi.org/10.3334/CDIAC/otg.ANT_bakker_1991-1999
06AQ19930128	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of East Anglia, School of Environmental Sciences	6	Bakker, D.	
06AQ19930228	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Leibniz Institute for Baltic Sea Research Warnemünde	100	Schneider, B.	https://doi.org/10.3334/CDIAC/otg.ANT_bakker_1991-1999
06AQ19931019	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of East Anglia, School of Environmental Sciences	6	Bakker, D.	https://doi.org/10.3334/CDIAC/otg.ANT_bakker_1991-1999
06AQ19940524	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of East Anglia, School of Environmental Sciences	6	Bakker, D.	https://doi.org/10.3334/CDIAC/otg.VOS_ANT_XIII_leg_1_1995
06AQ19951112	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	Körtzinger, A.	
06AQ19960320	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Hoppema, M.	
06AQ19980411	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Bjerknes Centre for Climate Research	1411	Bellerby, R.G.J.; Hoppema, M.	
06AQ19990327	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Bjerknes Centre for Climate Research	1411	Bellerby, R.G.J.; de Baar, H.J.W.	https://doi.org/10.3334/CDIAC/otg.VOS_ANT18_1_2_2000
06AQ20001004	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of East Anglia, School of Environmental Sciences	6	Bakker, D.	
06AQ20001026	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of East Anglia, School of Environmental Sciences	6	Bakker, D.	https://doi.org/10.3334/CDIAC/otg.VOS_ANT20_2_2003
06AQ20021126	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of East Anglia, School of Environmental Sciences	6	Bakker, D.	
06AQ20021214	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of East Anglia, School of Environmental Sciences	6	Bakker, D.; Hoppema, M.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2008
06AQ20071203	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2008
06AQ20080209	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2008
06AQ20080416	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2008
06AQ20080624	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2008
06AQ20080705	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2009
06AQ20090109	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2009
06AQ20090322	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2009
06AQ20090413	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	van Heuven, S.	https://doi.org/10.3334/CDIAC/OTG.OA_VOS_POLARSTERN_2009
